"ID","Accident ID","Region Number","Corridor ID","Location (Intersection/Road/Street)","Corridor","Location- longitude/ X","Location- latitude/  Y","Mile Marker","Village","Date of Accident","Time of Accident","Type of Accident","Class of Road User","Age/DOB","Gender","Class of Vehicles Involved","Contributing Factor","Number of Persons Involved"
5707,26136.00,"4- Demerara- Mahaica",349,"Eccles Public Rd.","East bank Demerara (from Georgetown)","-58.1706","6.7802",,,10/15/2010 0:00:00,12/30/1899 21:50:00,"A- Fatal","F- Driver",25.00,"Male","K- Private Cars;V-Motor Cycle","U- Cyclist's Negligence",3.00
5708,26137.00,"4- Demerara- Mahaica",349,"Eccles Public Rd.","East bank Demerara (from Georgetown)","-58.1706","6.7802",,,10/18/2010 0:00:00,12/30/1899 9:45:00,"D- Property Damage","F- Driver",,"Male","L- Lorries Van;N- Pickup","S- Driver's Negligence",2.00
5709,26138.00,"4- Demerara- Mahaica",349,"Industrial Site & Access Rd.","East bank Demerara (from Georgetown)","-58.1677","6.7918",,,10/20/2010 0:00:00,12/30/1899 12:15:00,"B- Serious Injury","F- Driver",46.00,"Male","L- Lorries Van;N- Pickup","S- Driver's Negligence",2.00
5710,26139.00,"4- Demerara- Mahaica",349,"Eccles Housing Scheme","East bank Demerara (from Georgetown)","-58.1696","6.7737",,,10/26/2010 0:00:00,12/30/1899 8:30:00,"D- Property Damage","F- Driver",27.00,"Male","K- Private Cars;L- Lorries Van","S- Driver's Negligence",2.00
5711,26140.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,10/26/2010 0:00:00,12/30/1899 7:20:00,"C- Minor Injury","F- Driver",25.00,"Male","N- Pickup;V-Motor Cycle","S- Driver's Negligence",2.00
5712,26141.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,10/27/2010 0:00:00,12/30/1899 16:00:00,"D- Property Damage","F- Driver",24.00,"Male","K- Private Cars;N- Pickup","S- Driver's Negligence",2.00
5713,26142.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,10/30/2010 0:00:00,12/30/1899 10:00:00,"C- Minor Injury","G- Rider",56.00,"Male","K- Private Cars;V-Motor Cycle","S- Driver's Negligence",2.00
5714,26143.00,"4- Demerara- Mahaica",361,"Herstelling Public Rd.","East bank Demerara (from Georgetown)","-58.1848","6.7464",,,11/4/2010 0:00:00,12/30/1899 20:00:00,"D- Property Damage","F- Driver",37.00,"Male","K- Private Cars;L- Lorries Van","S- Driver's Negligence",2.00
5715,26144.00,"4- Demerara- Mahaica",352,"Demerara Harbour Bridge","East bank Demerara (from Georgetown)","-58.1798","6.7682",,,11/4/2010 0:00:00,12/30/1899 10:00:00,"D- Property Damage","F- Driver",21.00,"Male","L- Lorries Van;N- Pickup","S- Driver's Negligence",2.00
5716,26145.00,"4- Demerara- Mahaica",351,"Bagotstown Public Rd.","East bank Demerara (from Georgetown)","-58.1794","6.7505",,,11/5/2010 0:00:00,12/30/1899 21:00:00,"B- Serious Injury","F- Driver",21.00,"Male","K- Private Cars","T-Pedestrian's Negligence",2.00
