"code","manufacturer","category","creation_date","promised_date","need_by_date","transaction_date","qty_recv","unit_cost","total"
"FDC","ZTE USA","PHONE",2018-01-30,2018-03-20,2018-03-20,2018-04-11,3000,136.49,409470
"FDC","ZTE USA","PHONE",2018-01-30,2018-03-20,2018-03-20,2018-04-11,3000,136.49,409470
"FDC","LG ELECTRONICS","PHONE",2018-03-20,2018-04-04,2018-04-04,2018-04-12,864,629.99,544311.36
"FDC","LG ELECTRONICS","PHONE",2018-03-05,2018-03-27,2018-03-27,2018-04-12,864,629.99,544311.36
"FDC","SAMSUNG","PHONE",2018-02-21,2018-04-18,2018-04-18,2017-04-18,2250,591,1329750
"FDC","SAMSUNG","COMPUTER",2018-04-16,2018-04-20,2018-04-20,2017-04-18,5760,189,1088640
"FDC","SAMSUNG","COMPUTER",2018-04-16,2018-04-20,2018-04-20,2017-04-18,1205,189,227745
"FDC","SAMSUNG","PHONE",2018-04-16,2018-04-19,2018-04-19,2018-04-19,2000,765,1530000
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-19,3600,409,1472400
"FDC","SAMSUNG","PHONE",2018-04-16,2018-04-20,2018-04-20,2018-04-19,4500,675,3037500
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-19,1275,865,1102875
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-19,4500,865,3892500
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-19,3780,865,3269700
"FDC","SAMSUNG","PHONE",2018-04-04,2018-04-18,2018-04-18,2018-04-19,7560,170,1285200
"FDC","SAMSUNG","PHONE",2018-04-16,2018-04-20,2018-04-20,2018-04-19,2540,591,1501140
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-19,1300,675,877500
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-19,5040,765,3855600
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-19,1890,130,245700
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-19,2250,591,1329750
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-19,4985,591,2946135
"FDC","SAMSUNG","COMPUTER",2018-04-16,2018-04-20,2018-04-20,2018-04-20,2175,189,411075
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-20,3515,591,2077365
"FDC","SAMSUNG","PHONE",2018-04-16,2018-04-20,2018-04-20,2018-04-23,2300,865,1989500
"FDC","SAMSUNG","PHONE",2018-03-22,2018-04-20,2018-04-20,2018-04-23,3075,865,2659875
"FDC","TCT MOBILE US INC","PHONE",2018-04-04,2018-04-23,2018-04-23,2018-04-24,600,450,270000
"FDC","LG ELECTRONICS","GOPHONE",2018-02-21,2018-04-24,2018-04-24,2018-04-24,2592,47.99,124390.08
"FDC","LG ELECTRONICS","PHONE",2018-03-13,2018-04-24,2018-04-24,2018-04-24,1260,719.99,907187.4
